排名,排名变化,全名_中文,全名_英文,年龄,出生地_中文,出生地_英文,性别,照片,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,组织结构,财富值_人民币_亿,财富值变化,财富值_美元,年份
2494,-633,康宝华,Kang Baohua,68,中国-辽宁,China-Liaoning,先生,https://res.hurun.cn/default/icon_men.jpg,远大企业,Yuanda Aluminium Industry ,中国-辽宁-沈阳,China-Liaoning-Shenyang,建筑幕墙、电梯,"Construction, elevators",未知,24.0,-14%,370.0,2021-10-27
2494,New,李东流,Li Dongliu,55,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,森赫股份,Sicher Elevator,中国-浙江-湖州,China-Zhejiang-Huzhou,电梯,Elevators,父子,24.0,New,370.0,2021-10-27
2494,-230,李海平,Li Haiping,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,利安隆,Rianlon,中国-天津,China-Tianjin,高分子材料抗老化化学助剂,Chemical Polymers,未知,24.0,14%,370.0,2021-10-27
2494,-755,李华锋,Li Huafeng,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,海天味业,Haitian,中国-广东-佛山,China-Guangdong-Foshan,调味品,Food Flavorings,未知,24.0,-20%,370.0,2021-10-27
2494,-396,李建锋,Li Jianfeng,52,,,先生,https://res.hurun.cn/default/icon_men.jpg,中核华原钛白,CHTI,中国-甘肃-嘉峪关,China-Gansu-Jiayuguan,化工,Chemicals,未知,24.0,0%,370.0,2021-10-27
2494,New,李立峰,Li Lifeng,50,,,先生,https://res.hurun.cn/default/icon_men.jpg,世茂能源,Shimao Energy,中国-浙江-宁波,China-Zhejiang-Ningbo,热电,Clean Energy,家族,24.0,New,370.0,2021-10-27
2494,-755,李明炎,Li Mingyan,61,,,先生,https://res.hurun.cn/default/icon_men.jpg,寿仙谷,Shouxian Valley,中国-浙江-金华,China-Zhejiang-Jinhua,医药,Pharmaceuticals,家族,24.0,-20%,370.0,2021-10-27
2494,New,李铁,Li Tie,43,,,先生,https://res.hurun.cn/default/icon_men.jpg,理想汽车,Li Auto,中国-北京,China-Beijing,新能源汽车,E-cars,未知,24.0,New,370.0,2021-10-27
2494,New,李政,Li Zheng,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,久祺股份,Joy Kie Corporation,中国-浙江-杭州,China-Zhejiang-Hangzhou,自行车,Bicycle,未知,24.0,New,370.0,2021-10-27
2494,-471,梁福东,Liang Fudong,62,中国-山东-临沂,China-Shandong-Linyi,先生,https://res.hurun.cn/default/icon_men.jpg,华仁药业,Huaren Pharmaceutical ,中国-山东-青岛,China-Shandong-Qingdao,医药,Pharmaceuticals,夫妇,24.0,-4%,370.0,2021-10-27
2494,-755,林光荣,Lin Guangrong,75,,,先生,https://res.hurun.cn/default/icon_men.jpg,荣泰健康,Rotai,中国-上海-青浦,China-Shanghai-Qingpu,按摩器,Massager,家族,24.0,-20%,370.0,2021-10-27
2494,New,刘甍,Liu Meng,51,中国-四川-德阳,China-Sichuan-Deyang,先生,https://res.hurun.cn/default/icon_men.jpg,川金诺,Chuan Jin Nuo,中国-云南-昆明,China-Yunnan-Kunming,磷肥,Phosphate Fertilizer,未知,24.0,New,370.0,2021-10-27
2494,-1267,刘双广,Liu Shuangguang,56,中国-江苏-南京,China-Jiangsu-Nanjing,先生,https://res.hurun.cn/default/icon_men.jpg,高新兴,Gosuncn,中国-广东-广州,China-Guangdong-Guangzhou,通信设备,Communications Equipment,未知,24.0,-47%,370.0,2021-10-27
2494,-1122,刘先成,Liu Xiancheng,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,普门科技,Lifotronic,中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械,Health Tech,未知,24.0,-40%,370.0,2021-10-27
2494,-513,刘兆年,Liu Zhaonain,61,中国-湖北-孝感,China -Hubei - A Sense of Filial Piety,先生,https://res.hurun.cn/default/icon_men.jpg,九州通,Jointown ,中国-湖北-武汉,China-Hubei-Wuhan,医药流通,Pharmaceutical distribution ,未知,24.0,-8%,370.0,2021-10-27
2494,-633,卢元健,Lu Yuanjian,71,,,先生,https://res.hurun.cn/default/icon_men.jpg,元力股份,Yuanli Active Carbon,中国-福建-南平,China-Fujian-Nanping,活性炭,Activated carbon,夫妇,24.0,-14%,370.0,2021-10-27
2494,-230,罗爱文,Luo Aiwen,56,中国-广东-东莞,China-Guangdong-Dongguan,先生,https://res.hurun.cn/default/icon_men.jpg,快意电梯,Ife Elevators,中国-广东-广州,China-Guangdong-Guangzhou,电梯,Elevator,未知,24.0,14%,370.0,2021-10-27
2494,New,马学军,Ma Xuejun,50,中国-北京,China -Beijing,女士,https://res.hurun.cn/default/icon_women.jpg,倍轻松,Breo,中国-广东-深圳,China-Guangdong-Shenzhen,按摩器,HealthTech,未知,24.0,New,370.0,2021-10-27
2494,-396,明金星,Ming Jinxing,63,中国-山东,China-Shandong,先生,https://res.hurun.cn/default/icon_men.jpg,大众食品,People's Food ,中国-山东-临沂,China-Shandong-Linyi,肉制品,Meat ,未知,24.0,0%,370.0,2021-10-27
2494,-1042,缪妍缇,Miao Yanti,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,我乐家居,Olo Home Furnishin,中国-江苏-南京,China-Jiangsu-Nanjing,家具生产,Furniture,夫妇,24.0,-37%,370.0,2021-10-27
2494,New,上官文龙,Shangguan Wenlong,52,中国-湖北-荆门,China -Hubei-Jingmen,先生,https://res.hurun.cn/default/icon_men.jpg,三孚新科,Sanfu New Materials,中国-广东-广州,China-Guangdong-Guangzhou,化工,Chemicals,夫妇,24.0,New,370.0,2021-10-27
2494,-633,沈继业,Shen Jiye,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,绿盟科技,NSFOCUS,中国-北京,China-Beijing,信息安全,Cyber Security,未知,24.0,-14%,370.0,2021-10-27
2494,-191,唐步云,Tang Buyun,68,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/default/icon_men.jpg,银河工业,Galaxy ,中国-四川-成都,China-Sichuan-Chengdu,投资,Investment,夫妇,24.0,20%,370.0,2021-10-27
2494,-513,唐球,Tang Qiu,50,中国-湖北-武汉,China -Hubei-Wuhan,先生,https://res.hurun.cn/default/icon_men.jpg,赢时胜,Ysstech,中国-广东-深圳,China-Guangdong-Shenzhen,应用软件,Application Software,夫妇,24.0,-8%,370.0,2021-10-27
2494,-354,徐锦鑫,Xu Jinxin,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,置信,Zhixin,中国-上海-长宁,China-Shanghai-Changning,电气设备,Electrical equipment,夫妇,24.0,4%,370.0,2021-10-27
2494,-893,严文华,Yan Wenhua,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,佳禾智能,Cosonic,中国-广东-东莞,China-Guangdong-Dongguan,电声产品,Consumer Electronics,家族,24.0,-29%,370.0,2021-10-27
2494,-1417,严玉德,Yan Yude,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,德瑞企业发展,Derui Enterprise,中国-四川-成都,China-Sichuan-Chengdu,教育、房地产,"Education, real estate",未知,24.0,-56%,370.0,2021-10-27
2494,New,杨伟振,Yang Weizhen,42,,,先生,https://res.hurun.cn/default/icon_men.jpg,奕瑞科技,Iray,中国-上海,China-Shanghai,X线探测仪,Manufacturing,未知,24.0,New,370.0,2021-10-27
2494,New,姚海霞,Yao Haixia,50,中国-江苏-南通,China-Jiangsu-Nantong,先生,https://res.hurun.cn/default/icon_men.jpg,恒辉安防,Hanvo ,中国-江苏-南通,China-Jiangsu-Nantong,安全防护手套,Textile,家族,24.0,New,370.0,2021-10-27
2494,New,余军,Yu Jun,52,中国-江西-南昌,China -Jiangxi-Nanchang,先生,https://res.hurun.cn/default/icon_men.jpg,金迪克,Gdk,中国-江苏-泰州,China-Jiangsu-Taizhou,疫苗,Pharmaceuticals,未知,24.0,New,370.0,2021-10-27
2494,-633,俞建模,Yu Jianmo,75,,,先生,https://res.hurun.cn/default/icon_men.jpg,美吉姆,My GYM,中国-北京,China-Beijing,教育,Education,父子,24.0,-14%,370.0,2021-10-27
2494,-471,张广胜,Zhang Guangsheng,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,力合科技,Lihe,中国-湖南-长沙,China-Hunan-Changsha,仪器仪表制造,Instrument manufacturing,未知,24.0,-4%,370.0,2021-10-27
2494,-471,张海军,Zhang Haijun,69,,,先生,https://res.hurun.cn/default/icon_men.jpg,翼辰实业,Yichen Industrial,中国-河北-石家庄,China-Hebei-Shijiazhuang,铁路扣件制造,Equipment Manufacturing,家族,24.0,-4%,370.0,2021-10-27
2494,New,张建辉,Zhang Jianhui,53,中国-湖南-长沙,China -Hunan-Changsha,先生,https://res.hurun.cn/default/icon_men.jpg,全志科技,Allwinnertech,中国-广东-珠海,China-Guangdong-Zhuhai,半导体芯片,Semiconductors,未知,24.0,New,370.0,2021-10-27
2494,New,张良斌,Zhang Liangbin,46,中国-安徽-马鞍山,China -Anhui-MaAnshan,先生,https://res.hurun.cn/default/icon_men.jpg,金迪克,Gdk,中国-江苏-泰州,China-Jiangsu-Taizhou,疫苗,Pharmaceuticals,未知,24.0,New,370.0,2021-10-27
2494,-471,张卫元,Zhang Weiyuan,52,,,先生,https://res.hurun.cn/default/icon_men.jpg,回盛生物,Hvsen,中国-湖北-武汉,China-Hubei-Wuhan,医药制造业,Pharmaceuticals,夫妇,24.0,-4%,370.0,2021-10-27
2494,-1466,张章笋,Zhang Zhangsun,64,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,国瑞置业,Glory,中国-北京,China-Beijing,房地产,Real Estate,夫妇,24.0,-56%,370.0,2021-10-27
2494,New,章锦鸿,Zhang Jinhong,未知,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,红狮控股,Hongshi,中国-浙江-金华,China-Zhejiang-Jinhua,水泥,Cement,未知,24.0,New,370.0,2021-10-27
2494,-958,章庆元,Zhang Qingyuan,44,,,先生,https://res.hurun.cn/default/icon_men.jpg,金山办公,Kingsoft Office,中国-北京,China-Beijing,办公软件与信息服务,SaaS,未知,24.0,-31%,370.0,2021-10-27
2494,New,郑海涛,Zheng Haitao,57,中国-北京,China -Beijing,先生,https://res.hurun.cn/default/icon_men.jpg,数码视讯,Sumavision,中国-北京,China-Beijing,数字电视软件,SaaS,未知,24.0,New,370.0,2021-10-27
2494,New,郑文荣,Zheng Wenrong,58,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,福莱特,Flat Glass,中国-浙江-嘉兴,China-Zhejiang-Jiaxing,玻璃,Glass ,未知,24.0,New,370.0,2021-10-27
2494,New,郑晓蓉,Zheng Xiaorong,49,中国-广东-河源,China-Guangdong-Heyuan,先生,https://res.hurun.cn/default/icon_men.jpg,科翔电子,Kingshine,中国-广东-惠州,China-Guangdong-Huizhou,电子元件,Electronic Components,夫妇,24.0,New,370.0,2021-10-27
2494,-471,周供华,Zhou Gonghua,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,起帆电缆,Qifan,中国-上海-金山,China-Shanghai-Jinshan,电缆,Cable,父子,24.0,-4%,370.0,2021-10-27
2494,-471,周桂华,Zhou Guihua,60,,,先生,https://res.hurun.cn/default/icon_men.jpg,起帆电缆,Qifan,中国-上海-金山,China-Shanghai-Jinshan,电缆,Cable,家族,24.0,-4%,370.0,2021-10-27
2494,-471,周桂幸,Zhou Guixing,57,,,先生,https://res.hurun.cn/default/icon_men.jpg,起帆电缆,Qifan,中国-上海-金山,China-Shanghai-Jinshan,电缆,Cable,家族,24.0,-4%,370.0,2021-10-27
2494,New,周源,Zhou Yuan,41,中国-贵州-贵阳,China -Guizhou-Guiyang,先生,https://res.hurun.cn/default/icon_men.jpg,知乎,Zhihu,中国-北京,China-Beijing,软件与服务,Software and Information Services,未知,24.0,New,370.0,2021-10-27
2494,New,庄锡钦,Chong Sik-Qin,未知,中国-台湾,China-Taiwan,先生,https://res.hurun.cn/default/icon_men.jpg,亿丰,Nien Made,中国-台湾-台中,China-Taiwan-Taichung,家居用品,Household items,未知,24.0,New,370.0,2021-10-27
2558,-577,艾纯,Ai Chun,55,,,先生,https://res.hurun.cn/default/icon_men.jpg,神驰机电,Senci Electric Machinery,中国-重庆,China-Chongqing,机电设备,Equipment manufacturing,未知,23.0,-12%,360.0,2021-10-27
2558,-418,包志方,Bao Zhifang,61,,,先生,https://res.hurun.cn/default/icon_men.jpg,宝通科技,Boton Tech,中国-江苏-无锡,China-Jiangsu-Wuxi,橡胶运输带,Rubber conveyor bel,未知,23.0,0%,360.0,2021-10-27
2558,-1186,曾犁,Zeng Li,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,数据港,Athub,中国-上海-静安,China-Shanghai-Jing'an,数据服务器,Data server,未知,23.0,-43%,360.0,2021-10-27
2558,New,陈国华,Chen Guohua,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,士兰微,Silan Microelectronics,中国-浙江-杭州,China-Zhejiang-Hangzhou,半导体,Semiconductor,未知,23.0,New,360.0,2021-10-27
2558,-1022,陈志敏,Chen Zhimin,46,,,先生,https://res.hurun.cn/default/icon_men.jpg,海量数据,VASTDATA,中国-北京,China-Beijing,软件与信息服务,Software and Information Services,夫妇,23.0,-34%,360.0,2021-10-27
2558,-255,丁京林,Ding Jinglin,61,,,先生,https://res.hurun.cn/default/icon_men.jpg,万泰生物,Wantai Biological Pharmacy,中国-北京,China-Beijing,生物制药,Biotech,未知,23.0,15%,360.0,2021-10-27
2558,New,丁然,Ding Ran,48,中国-陕西-西安,China-Shaanxi-Xi'an,先生,https://res.hurun.cn/default/icon_men.jpg,全志科技,Allwinnertech,中国-广东-珠海,China-Guangdong-Zhuhai,半导体芯片,Semiconductors,未知,23.0,New,360.0,2021-10-27
2558,New,杜成城,Du Chengcheng,55,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,万顺新材,Wanshun New Material,中国-广东-汕头,China-Guangdong-Shantou,金属玻璃容器,Metal & Glass Containers,未知,23.0,New,360.0,2021-10-27
2558,New,方立锋,Fang Lifeng,46,,,先生,https://res.hurun.cn/default/icon_men.jpg,神通科技,Shentong Technology Group,中国-浙江-宁波,China-Zhejiang-Ningbo,汽车零部件,Automobile parts,夫妇,23.0,New,360.0,2021-10-27
2558,New,费战波,Fei Zhanbo,55,,,先生,https://res.hurun.cn/default/icon_men.jpg,新天科技,Suntront,中国-河南-郑州,China-Henan-Zhengzhou,电子设备制造,Electronic Equipments,未知,23.0,New,360.0,2021-10-27
2558,-636,冯就景,Feng Jiujing,56,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/default/icon_men.jpg,日丰,Rifeng,中国-广东-中山,China-Guangdong-Zhongshan,电缆,Wire & Cable,未知,23.0,-15%,360.0,2021-10-27
2558,New,高振顺,Gao Zhenshun,69,,,先生,https://res.hurun.cn/default/icon_men.jpg,BC集团,BC Technology,中国-上海,China-Shanghai,软件服务,Digital Asset Services,未知,23.0,New,360.0,2021-10-27
2558,New,葛文志,Ge Wenzhi,51,,,先生,https://res.hurun.cn/default/icon_men.jpg,美迪凯,MDK Opto Electronic Corporation Limited,中国-浙江-杭州,China-Zhejiang-Hangzhou,光学元器件,Optical products,未知,23.0,New,360.0,2021-10-27
2558,-927,韩旭,Han Xu,56,中国-山东-烟台,China-Shandong-Yantai,先生,https://res.hurun.cn/default/icon_men.jpg,瑞康医药,Realcan Pharmaceutical,中国-山东-烟台,China-Shandong-Yantai,医药,Pharmaceuticals,夫妇,23.0,-30%,360.0,2021-10-27
2558,-819,汉雨生,Han Yusheng,43,,,先生,https://res.hurun.cn/default/icon_men.jpg,燃石医学,Burning Rock Biotech,中国-广东-广州,China-Guangdong-Guangzhou,生物医药,Biotech,未知,23.0,-23%,360.0,2021-10-27
2558,-893,何晔,He Ye,51,,,先生,https://res.hurun.cn/default/icon_men.jpg,银之杰,Infogem Technologies,中国-广东-深圳,China-Guangdong-Shenzhen,金融软件,Application Software,未知,23.0,-28%,360.0,2021-10-27
2558,New,胡盛龙,Hu Shenglong,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,传音,Transsion,中国-广东-深圳,China-Guangdong-Shenzhen,消费电子产品,Consumer Electronics,未知,23.0,New,360.0,2021-10-27
2558,-418,黄丽泰,Huang Litai,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,利安达,LAD ,中国-江苏-无锡,China-Jiangsu-Wuxi,城市燃气、服装、房地产开发,"Gas, apparel, real estate",未知,23.0,0%,360.0,2021-10-27
2558,New,李春波,Li Chunbo,62,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,浙江医药,Zhejiang Medicine Co,中国-浙江-绍兴,China-Zhejiang-Shaoxing,医药,Pharmaceuticals,未知,23.0,New,360.0,2021-10-27
2558,New,李临,Li Lin,59,中国-北京,China -Beijing,先生,https://res.hurun.cn/default/icon_men.jpg,科美诊断,Chivd,中国-北京,China-Beijing,激光化学发光技术,Pharmaceuticals,未知,23.0,New,360.0,2021-10-27
2558,-255,梁军,Liang Jun,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,睿创微纳,Raytron,中国-山东-烟台,China-Shandong-Yantai,电子器件制造,Electronic,未知,23.0,15%,360.0,2021-10-27
2558,New,林长青,Lin Changqing,45,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.cn/default/icon_men.jpg,热景生物,Hotgen Biotech,中国-北京,China-Beijing,生物医药,Pharmaceuticals,未知,23.0,New,360.0,2021-10-27
2558,New,刘俊,Liu Jun,60,中国-江苏-南京,China-Jiangsu-Nanjing,先生,https://res.hurun.cn/default/icon_men.jpg,雷尔伟,Railway,中国-江苏-南京,China-Jiangsu-Nanjing,轨道交通设备,Manufacturing,未知,23.0,New,360.0,2021-10-27
2558,-819,陆瑞博,Lu Ruibo,57,,,先生,https://res.hurun.cn/default/icon_men.jpg,鹰普精密,Impro precisiom,中国-江苏-无锡,China-Jiangsu-Wuxi,汽车及零配件,Auto and spare parts,夫妇,23.0,-23%,360.0,2021-10-27
2558,-1022,钱运鹏,Qian Yunpeng,59,,,先生,https://res.hurun.cn/default/icon_men.jpg,牧原,Muyuan,中国-河南-南阳,China-Henan-Nanyang,畜牧,Pig farming,未知,23.0,-34%,360.0,2021-10-27
2558,-819,邱世勋,Qiu Shixun,51,,,先生,https://res.hurun.cn/default/icon_men.jpg,广联达,Glodon,中国-北京,China-Beijing,软件与信息服务,Software and Information Services,未知,23.0,-23%,360.0,2021-10-27
2558,-354,邵伟,Shao Wei,51,,,先生,https://res.hurun.cn/default/icon_men.jpg,海荣冷链,Hiron,中国-山东-青岛,China-Shandong-Qingdao,设备制造,Manufacturing,未知,23.0,5%,360.0,2021-10-27
2558,New,邵羽南,Shao Yunan,49,中国-黑龙江-大庆,China-Heilongjiang-Daqing,先生,https://res.hurun.cn/default/icon_men.jpg,同益实业,Tongyi Industry,中国-广东-深圳,China-Guangdong-Shenzhen,塑料制品经销,Trading & Distributing,夫妇,23.0,New,360.0,2021-10-27
2558,New,沈海博,Shen Haibo,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,赣锋锂业,Ganfeng Lithium,中国-江西-新余,China-Jiangxi-Xinyu,有色金属冶炼加工,Non-ferrous metals processing,未知,23.0,New,360.0,2021-10-27
2558,New,宋卫权,Song Weiquan,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,士兰微,Silan Microelectronics,中国-浙江-杭州,China-Zhejiang-Hangzhou,半导体,Semiconductor,未知,23.0,New,360.0,2021-10-27
2558,New,谭铮,Tan Zheng,43,,,先生,https://res.hurun.cn/default/icon_men.jpg,永泰生物,Immunotech,中国-北京,China-Beijing,生物医药,Pharmaceuticals,家族,23.0,New,360.0,2021-10-27
2558,New,唐岳,Tang Yue,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,楚天科技,Truking,中国-湖南-长沙,China-Hunan-Changsha,医疗器械,Medical devices ,未知,23.0,New,360.0,2021-10-27
2558,New,汪坤,Wang Kun,40,中国-江苏-淮安,China-Jiangsu-Huai'an,先生,https://res.hurun.cn/default/icon_men.jpg,线上线下,Online Offline,中国-江苏-无锡,China-Jiangsu-Wuxi,移动信息服务,Internet Service,夫妇,23.0,New,360.0,2021-10-27
2558,New,王丹,Wang Dan,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,顺灏股份,Shunho,中国-上海,China-Shanghai,包装,Packaging,家族,23.0,New,360.0,2021-10-27
2558,New,王健,Wang Jian,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,汇通达,Huitongda,中国-江苏-南京,China-Jiangsu-Nanjing,互联网服务,Internet Services,未知,23.0,New,360.0,2021-10-27
2558,-636,王永华,Wang Yonghua,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,天图投资,Tiantu Capital,中国-广东-深圳,China-Guangdong-Shenzhen,投资,Investments,未知,23.0,-15%,360.0,2021-10-27
2558,-819,王宇翔,Wang Yuxiang,46,,,先生,https://res.hurun.cn/default/icon_men.jpg,航天宏图,Piesat IT,中国-北京,China-Beijing,卫星技术研发,Satellite Technology,夫妇,23.0,-23%,360.0,2021-10-27
2558,New,王增潮,Wang Zengchao,52,,,先生,https://res.hurun.cn/default/icon_men.jpg,顺博合金,Shunbo Aluminum,中国-重庆,China-Chongqing,有色金属,Aluminum Alloy,家族,23.0,New,360.0,2021-10-27
2558,New,魏晓林,Wei Xiaolin,65,,,先生,https://res.hurun.cn/default/icon_men.jpg,西菱动力,Xiling Power Science & Technology Incorporated,中国-四川-成都,China-Sichuan-Chengdu,汽车零部件,Automobile parts,家族,23.0,New,360.0,2021-10-27
2558,New,项乐宏,Xiang Lehong,50,,,先生,https://res.hurun.cn/default/icon_men.jpg,乐歌股份,Loctek Ergonomic Technology,中国-浙江-宁波,China-Zhejiang-Ningbo,办公家具,Office furniture,夫妇,23.0,New,360.0,2021-10-27
2558,New,谢庆奎,Xie Qingkui,70,,,先生,https://res.hurun.cn/default/icon_men.jpg,西麦食品,Seamild Food,中国-广西-桂林,China-Guangxi-Guilin,食品,Food & Beverage,家族,23.0,New,360.0,2021-10-27
2558,-853,徐华东,Xu Huadong,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,华丰动力,Power HF,中国-山东-潍坊,China-Shandong-Weifang,设备制造,Manufacturing,夫妇,23.0,-26%,360.0,2021-10-27
2558,New,杨桂模,Yang Guimo,71,,,先生,https://res.hurun.cn/default/icon_men.jpg,山东威达,Weida,中国-山东-威海,China-Shandong-Weihai,机械设备,Machinery Manufacturing,父女,23.0,New,360.0,2021-10-27
2558,New,杨小奇,Yang Xiaoqi,63,,,先生,https://res.hurun.cn/default/icon_men.jpg,富瀚微,Fullhan,中国-上海,China-Shanghai,芯片,Chips,未知,23.0,New,360.0,2021-10-27
2558,-819,尤天远,You Tianyuan,49,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/default/icon_men.jpg,视源电子,Shiyuan Electronic,中国-广东-广州,China-Guangdong-Guangzhou,消费电子,Consumer Electronics,未知,23.0,-23%,360.0,2021-10-27
2558,-1331,袁华强,Yuan Huaqiang,41,中国-四川-宜宾,China - Sichuan - Yibin,先生,https://res.hurun.cn/default/icon_men.jpg,海底捞,HaiDiLao,中国-北京,China-Beijing,餐饮,Restaurants,未知,23.0,-49%,360.0,2021-10-27
2558,-1437,张华君,Zhang Huajun,57,,,先生,https://res.hurun.cn/default/icon_men.jpg,日辰股份,Richen,中国-山东-青岛,China-Shandong-Qingdao,调味料,Seasoning,夫妇,23.0,-54%,360.0,2021-10-27
2558,-1530,张送根,Zhang Songgen,55,,,先生,https://res.hurun.cn/default/icon_men.jpg,天智航,Tinavi,中国-北京,China-Beijing,医疗机器人,Health Tech,未知,23.0,-58%,360.0,2021-10-27
2558,New,张顼,Zhang Xu,50,,,先生,https://res.hurun.cn/default/icon_men.jpg,高测股份,Gaoce,中国-山东-青岛,China-Shandong-Qingdao,机械设备,Machinery Manufacturing,未知,23.0,New,360.0,2021-10-27
2558,-1022,周淑华,Zhou Shuhua,64,,,先生,https://res.hurun.cn/default/icon_men.jpg,威高,Wego,中国-山东-威海,China-Shandong-Weihai,医疗器械,Medical devices ,未知,23.0,-34%,360.0,2021-10-27
2558,-418,朱守琛,Zhu Shouchen,65,,,先生,https://res.hurun.cn/default/icon_men.jpg,建新化工,Jianxin Chemical,中国-河北-沧州,China-Hebei-Zhangzhou,化学原料制剂,Chemical Raw Materials,家族,23.0,0%,360.0,2021-10-27
2558,New,朱志宏,Zhu Zhihong,59,,,先生,https://res.hurun.cn/default/icon_men.jpg,九典制药,Jiudian,中国-湖南-长沙,China-Hunan-Changsha,医药制造业,Pharmaceuticals,未知,23.0,New,360.0,2021-10-27
2610,New,曹红光,Cao Hongguang,59,,,先生,https://res.hurun.cn/default/icon_men.jpg,奕瑞科技,Iray,中国-上海,China-Shanghai,X线探测仪,Manufacturing,未知,22.0,New,340.0,2021-10-27
2610,New,曹其东,Cao Qidong,70,,,先生,https://res.hurun.cn/default/icon_men.jpg,永新光学,Yongxin Optics,中国-浙江-宁波,China-Zhejiang-Ningbo,光学产品,Optical products,家族,22.0,New,340.0,2021-10-27
2610,New,曹宇中,Cao Yuzhong,59,,,先生,https://res.hurun.cn/default/icon_men.jpg,华辰装备,Hiecise ,中国-江苏-苏州,China-Jiangsu-Suzhou,精密机床,Manufacturing,未知,22.0,New,340.0,2021-10-27
2610,New,陈阿裕,Chen Ayu,59,中国-浙江-绍兴,China-Zhejiang-Shaoxing,先生,https://res.hurun.cn/default/icon_men.jpg,喜临门,Furniture ,中国-浙江-绍兴,China-Zhejiang-Shaoxing,床垫,Furniture ,未知,22.0,New,340.0,2021-10-27
2610,New,陈博,Chen Bo,47,,,先生,https://res.hurun.cn/default/icon_men.jpg,康诺亚,Keymed Biosciences,中国-四川-成都,China-Sichuan-Chengdu,生物医药,Biopharmaceuticals,未知,22.0,New,340.0,2021-10-27
2610,New,陈峰,Chen Feng,68,中国-山西-临汾,China-Shanxi-Linyi,先生,https://res.hurun.cn/default/icon_men.jpg,思瑞浦,3peak,中国-上海,China-Shanghai,半导体,Semiconductor,家族,22.0,New,340.0,2021-10-27
2610,New,陈嘉伟,Chen Jiawei,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,宏力达,Holystar,中国-上海,China-Shanghai,智能配电设备,Manufacturing,家族,22.0,New,340.0,2021-10-27
2610,New,陈少青,Chen Shaoqing,51,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,信利康,Xinlikang,中国-广东-深圳,China-Guangdong-Shenzhen,供应链管理,Logistics,未知,22.0,New,340.0,2021-10-27
2610,-1238,杜浩洋,Du Haoyang,50,,,先生,https://res.hurun.cn/default/icon_men.jpg,顺丰,SF,中国-香港,China-Hong Kong,快递,Express Delivery,未知,22.0,-45%,340.0,2021-10-27
2610,New,冯绍德,Feng Shaode,未知,中国-浙江-温州,China-Zhejiang-Wenzhou,先生,https://res.hurun.cn/default/icon_men.jpg,青山控股,Tsingshan,中国-浙江-温州,China-Zhejiang-Wenzhou,不锈钢,Steel,未知,22.0,New,340.0,2021-10-27
2610,New,傅双利,Fu Shuangli,46,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,迎丰股份,Yingfeng Technology Co,中国-浙江-绍兴,China-Zhejiang-Shaoxing,纺织印染,Printing and dyeing,夫妇,22.0,New,340.0,2021-10-27
